Incident Number,Cause number,bsee_source_field
SP-83-20070519-0045,1,18
SP-83-20070519-0045,2,19
SP-83-20070519-0045,3,19
SP-83-20070519-0045,4,19
EW-947-20070520-0430,1,18
EW-947-20070520-0430,2,19
VK-817-20070522-0930,1,18
VK-817-20070522-0930,2,19
GC-743-20070531-1940,1,18
GC-743-20070531-1940,2,19
MO-1002-20070605-1830,1,18
GC-680-20070611-0230,1,18
GC-680-20070611-0230,2,19
MO-871-20070613-1948,1,18
SM-106-20070623-0730,1,18
SM-106-20070623-0730,2,19
MC-707-20070627-1800,1,18
MC-707-20070627-1800,2,19
EI-158-20070705-2100,1,18
EI-158-20070705-2100,2,19
MC-809-20070721-1100,1,18
MC-809-20070721-1100,2,19
GC-743-20070731-1300,1,18
GC-743-20070731-1300,2,19
MP-61-20070801-1815,1,18
MP-61-20070801-1815,2,19
VK-786-20070807-1930,1,18
VK-786-20070807-1930,2,19
VR-408-20070808-2118,1,18
VR-408-20070808-2118,2,19
ST-254-20070811-1820,1,18
ST-254-20070811-1820,2,19
GC-743-20070815-1230,1,18
GC-743-20070815-1230,2,19
WD-29-20070822-1500,1,18
WD-29-20070822-1500,2,18
WD-29-20070822-1500,3,18
WD-29-20070822-1500,4,18
WD-29-20070822-1500,5,19
WD-29-20070822-1500,6,19
WD-29-20070822-1500,7,19
WD-29-20070822-1500,8,19
WD-29-20070822-1500,9,19
SP-57-20070823-1510,1,18
SP-57-20070823-1510,2,19
VR-167-20070828-1430,1,18
VR-167-20070828-1430,2,18
VR-167-20070828-1430,3,19
VR-167-20070828-1430,4,19
EC-109-20070830-1400,1,18
EC-109-20070830-1400,2,19
VR-167-20070907-0615,1,18
VR-167-20070907-0615,2,19
VR-167-20070907-0615,3,19
VR-167-20070907-0615,4,19
VR-167-20070907-0615,5,19
EI-175-20070907-1630,1,18
EI-175-20070907-1630,2,19
EI-175-20070907-1630,3,19
EI-175-20070907-1630,4,19
EI-175-20070907-1630,5,19
SS-92-20070917-0845,1,18
SS-92-20070917-0845,2,19
GC-949-20070920-1000,1,18
GC-949-20070920-1000,2,19
MC-807-20070923-1923,1,18
GI-78-20070926-1925,1,18
GI-78-20070926-1925,2,18
WR-29-20070930-1145,1,18
WR-29-20070930-1145,2,19
MP-30-20071001-1205,1,18
MP-30-20071001-1205,2,18
MP-30-20071001-1205,3,19
MP-30-20071001-1205,4,19
SS-209-20071003-1345,1,18
SS-209-20071003-1345,2,19
MC-683-20071020-2250,1,18
GC-726-20071021-0915,1,18
GC-726-20071021-0915,2,19
GC-726-20071021-0915,3,19
MO-916-20071023-0700,1,18
MO-916-20071023-0700,2,18
MC-683-20071023-0320,1,18
MC-711-20071024-1815,1,18
MC-711-20071024-1815,2,18
MP-73-20071025-1830,1,18
MP-73-20071025-1830,2,18
WD-45-20071030-1400,1,18
VR-167-20071031-2245,1,18
VR-167-20071031-2245,2,18
VR-167-20071031-2245,3,18
VR-167-20071031-2245,4,19
VR-167-20071031-2245,5,19
VR-167-20071031-2245,6,19
VR-167-20071031-2245,7,19
VR-167-20071031-2245,8,19
MC-765-20071102-1445,1,18
MC-765-20071102-1445,2,19
SS-266-20071103-2015,1,18
SS-266-20071103-2015,2,19
GB-260-20071104-1615,1,18
GB-260-20071104-1615,2,19
WD-89-20071106-2000,1,18
MP-73-20071107-0415,1,18
MC-568-20071113-1000,1,18
SP-78-20071115-0530,1,18
GA-151-20071118-0630,1,18
MO-914-20071129-1410,1,18
MO-914-20071129-1410,2,19
MC-21-20071201-1615,1,18
MC-21-20071201-1615,2,19
GC-652-20071202-1330,1,18
GC-652-20071202-1330,2,19
MC-822-20071204-1230,1,18
GC-953-20071206-1645,1,18
GC-953-20071206-1645,2,19
GI-39-20071210-2330,1,18
MP-44-20071211-0540,1,18
