Incident Number,incident Title,Incident Classificatioin,Date of Incident,Time of Incident,Date of Report,Site,Area,Unit,Detail,Work Group,Description,Incident Type A,Incident Type B,Incident Type C,Incident Type D,Investigation leader - Name,Investigation leader - Position,Incident Classified by - Name,Incident Classified by - Position,Investigation Acceptor/Approver (Owner) - Name,Investigation Acceptor/Approver (Owner)- Position,Approval Date,Close out Approval - Name,Close out Approval - Position,Close out Date,What happened?  ,What was the outcome?,Incident Classification,What was the worst outcome that could reasonably be expected to have happened?,Health & Safety Incident - Classification,Health & Safety - Risk Score,Health & Safety  - Consequence,Health & Safety - Likelihood,Environment & Reputation - Incident Classification,Environment & Reputation - Risk Score,Environment & Reputation  - Consequence,Environment & Reputation - Likelihood,Financial Cost & Business - Incident Classification,Financial Cost & Business Interruption - Risk Score,Financial Cost & Business Interruption  - Consequence,Financial Cost & Business Interruption - Likelihood,How did the incident occur
GC-680-20171227-1845,,,2017-12-27,18:45,,GC,680,A (Constitution,,,LIFTING,,,,,INV-c8d344,,,,,,,,,,"On December 27, 2017, an incident occurred on the Green Canyon (GC) 680-A Constitution
Spar, Outer Continental Shelf (OCS) Lease Number G22987. The structure is situtated
134 miles from shore in approximately 4,970 feet of water. The Designated Operator of
Record is Anadarko Petroleum Corporation (APC).
APC reported two related incidents to the Houma District outside of office hours--one
on December 27, 2017, and the other on December 31, 2017. The After Hours Engineer
noted the following:
Event on December 27:
After the wireline operations crew finished setting a plug in the Well A-1 dry tree,
220 barrels of 10.4 pounds per gallon (ppg) fluid were pumped into the well annulus to
kill the well. Once the wireline and pumping operations ended, the crew stood down for
a 6:00 pm Simultaneous Operations (SIMOPS) meeting. At that time, a crew member on the
workover deck noticed the Well A-1 riser drop three to four feet, coming to a rest on
the grating and beams on the deck. All four of the dry tree wells and surface
controlled subsurface safety valves (SCSSVs) were shut in, and all affected areas were
barricaded. Personnel mustered.
Event on December 31:
While attempting air-up operations on Buoyancy Can Chamber #2, personnel heard what
was thought to be a leak below the spar deck. Operators shut down the operation and
notified engineers about the situation. The engineers instructed the operators to
begin air-up operations on Buoyancy Can Chamber #3. During air-up operations,
personnel noticed an air leak on the chamber piping below the casing deck. A platform
Emergency Shutdown (ESD) and general alarm were initated, and personnel mustered. At
approximately 3:30 pm, the Well A-1 dry tree descended 28 feet, coming to a stop on
the spar deck.
A damage assessment was performed. When Remotely Operated Vechicles (ROVs) were
dispatched, pictures were taken, and it became obvious that all of the fill-up lines
were extremely corroded.
The buoyancy can consists of seven chambers. The top chamber (#1) is sealed. Chambers
#2 through #7 are open ended at the bottom, and each chamber is equipped with a three-
inch galvanized air fill-up line. The purpose of the air fill lines are to inject
nitrogen into each chamber. The set pressures ranging from 41 pounds per square inch
(psi) in Chamber #2 to 84 psi in Chamber #7 are maintained by a U-tube effect, where
water is injected into the fill-up line at the U-tube to prevent nitrogen from
escaping. This process prevents water from entering the bottom of each chamber,
thereby maintaining proper buoyancy to maintain the dry well and riser assembly.
Due to extreme corrosion in the Air Fill lines for chambers #2 and #3, nitrogen was
allowed to escape causing the water level in both chambers to rise. Once both chambers
filled with water, the weight of the Well A-1 dry tree and riser overcame the buoyancy
of the remaining Chambers #4 through #7. The increased load caused the grating on the
workover deck to collapse, allowing the the Well
coming to a stop on the spar deck.",,,,,,,,,,,,,,,,
GC-680-20170429-0112,,,2017-04-29,01:12,,GC,680,A (Constitution,,,LIFTING DEVICE,,,,,INV-455cd1,,,,SUP-707722,District Supervisor,,,,,"On April 29,2017, a fire occured on the Green Canyon 680-A Constitution spar platform
(OCS-G 22987). Anadarko Petroleum Corporation is the Designated Operator of Record.
The platform is situated 134 nautical miles from shore in 4,970 feet of water.
At approximately 1:12 a.m., operators responding to a Level Safety Low (LSL) alarm
for the Flash Gas Compressor No.2 coolant tank witnessed a fire. The operators shut
in the platform, activated the general alarm, and then extinguished the fire with a
handheld portable fire extinguisher. After the general alarm sounded, all personal on
the platform mustered to their assigned locations. There were no reportable injuries
to personal during this incident.
Investigation findings show vibration caused a hole to develop in stainless steel
tubing containing engine coolant. The vibration of the compressor engine caused the
tubing to rub against a retaining bolt head, creating a hole and allowing coolant to
spray onto the engine exhaust piping. The piping was covered with protective heat
blankets. Once the blankets became saturated with the coolant, the hot exhaust from
the engine ignited the coolant and caused the resulting fire.",,,,,,,,,,,,,,,,
GC-683-20151029-1740,,,2015-10-29,17:40,,GC,683,,DIAMOND OCEAN,,LIFTING DEVICE,,,,,INV-ade188,,,,SUP-d47d89,District Supervisor,,,,,"On October 29, 2015, an incident occurred in which the Deck Coordinator onboard the
Diamond Ocean Blackhornet sustained severe injuries to his left hand, while
attempting to relocate two joints of damaged production tubing on the rig's main
deck.
At the time of the incident, the Diamond Ocean Blackhornet was performing completion
operations for Anadarko Petroleum Corporation and located in Green Canyon Block 683,
Lease Number OCS-G18421. The Toolpusher contacted the Crane Operator and informed
him that two joints of damaged production tubing needed to be relocated from the pipe
skate, near the rig floor, to the rig's main deck until they could be back loaded
onto the boat. Due to a lack of available space on the rig's deck, the decision was
made to set the tubing on top of a bundle of 6 5/8 inch piping that was located in
the pipe bay area. The Deck Coordinator (IP), along with two Roustabouts, was
informed of the task to be performed and given instructions for the lift. The Deck
Coordinator was tasked with being the 'Flagger' for the operation. Through the use
of hand signals and a handheld radio, his job was to maintain communication with the
Crane Operator throughout the lift. The two Roustabouts were stationed in the pipe
bay area to guide the tubing into place as the load was set down.
The Roustabouts gathered the materials needed for the job and headed to the job site.
Once they arrived to the pipe bay area, the Roustabouts realized that the bundle of
pipe they were planning to set the tubing on was not level and would not likely allow
the tubing to be set down without trying to roll off. The Roustabouts approached the
Deck Coordinator with their concerns and suggested that they find an alternative
location to set the tubing. The Deck Coordinator, for reasons unknown, failed to
acknowledge the Roustabouts warning and continued flagging the Crane Operator to come
down with the load.
The two Roustabouts, aware that the tubing would likely try to roll once landed on
the bundle of pipe, relocated themselves inside of an open top cargo box that ran
along the length of the bundle of 6 6/8 inch piping in order to position themselves
away from any potential pinch points. As the pipe was set down and the chokes of the
slings began to loosen, the tubing began to roll off of the piping as the Roustabouts
had expected. The rolling of the tubing was stopped when one of the Roustabouts
wedged a piece of wood under the tubing. In an attempt to assess the situation, the
Deck Coordinator positioned himself between the tubing and the cargo box. Both
Roustabouts urged the Deck Coordinator to move out of the area as it was dangerous
due to the unsecured tubing. The Deck Coordinator left the area momentarily, but
returned shortly after with a piece of angle iron.
Upon his return, the IP again positioned himself in between the cargo box and the
tubing. The IP was told a second time by the Roustabouts that his position was
unsafe but their concerns were once again ignored. The Deck Coordinator instructed
the Roustabout who was stopping the tubing from rolling to remove his wedge so that
he could replace it with the piece of angle iron he had collected. The Roustabout
stated that the wedge was the only thing holding the tubing in place and that it
would continue to roll again if it was removed. The IP ignored the warning from the
Roustabout and pushed aside the piece of wood the Roustabout was holding with the
intent of quickly wedging the piece of angle iron underneath the tubing. As the
tubing began to roll, the IP attempted to wedge the angle iron into place. The
weight of the tubing caused the angle iron to flip, crushing the IP's left hand
between the tubing and the angle iron. The tubing continued to roll off of the
piping, falling to the deck beams and pinning the IP between the cargo box and the
tubing.
Some members of the drill crew noticed the incident and quickly flagged to the Crane
Operator to swing back over the site. With the use of the crane, the crew was able
to lift one end of the tubing up enough to allow the IP to free himself. The IP was
met at the scene of the incident by the onboard Medic and brought to the rig hospital
to prepare for an evacuation.
The Medivac helicopter arrived on location approximately 2 hours following the
incident. The IP was transported to the hospital where surgeons awaited to assess
the damage. The IP was immediately brought into surgery where he received pins in
his left index finger, left middle finger, and left ring finger. Injuries sustained
to his middle finger resulted in a partial amputation having to be performed. The IP
was released from the hospital the day after his surgery but has yet to be released
to return to work.",The IP was transported to the hospital where surgeons awaited to assess the damage.,,,,,,,,,,,,,,,
GC-787-20180508-0915,,,2018-05-08,09:15,,GC,787,A (Atlantis),,,LIFTING,,,,,INV-2d2b94,,,,,,,,,,"At approximately 2115 hours on Tuesday, May 08, 2018, an incident occurred on the
Floating Semi-Submersible Platform, Atlantis. The platform is located at Green Canyon
Block 787-A, OCS-G 23579. The operator on record is BP Exploration & Production Inc. A
high pressure gas release occurred on sales gas meter #3. The gas release was
discovered by third party personnel working in the area, who immediately contacted the
control room. Production personnel confirmed the gas release and the control room shut
in and blew down the gas compression system. The operating personnel then opened the
valve for the buyback gas in order to keep the gas generators online. After
approximately 15 minutes, the operating personnel realized the buyback gas was feeding
the existing gas release. After the buyback gas valve was closed and approximately 30
minutes after the initial discovery, the gas release ended at approximately 2145
hours. Throughout the incident no general alarm, emergency shutdown (ESD), or
personnel muster was initiated. However, after the gas release ended the platform
remained shut in overnight.
During normal operations on Friday, April 20, 2018, 18 days prior to the gas release,
a third party measurement technician was replacing a transmitter on the sales gas
meter #3 and installed Teflon seals. The technician was unaware of a BP policy that
only Viton O-rings (Green Tweed 938 elastomer) should be used instead of the Teflon
seals. The seal failed at approximately 2100 psi resulting in this gas release
incident. This was the fourth gas release incident to occur on BP facilities since
2008 and the third on Atlantis. On October 07, 2008 a gas release incident occurred on
the Atlantis facility. On June 21, 2009 a gas release occurred on another BP facility
(Nakika). Eleven days later on July 01, 2009 another gas release occurred on the
Atlantis facility. All of these incidents were due to failed Teflon seals.
During the BSEE visit at the platform on June 20, 2018, the inspectors noted the
height/distance of the gas detectors in relation to the sales gas skid and pointed
this out to the operators. Statements were obtained in relation to the incident. On
August 23, 2018, BSEE interviewed the Measurement technician who performed the gas
meter transmitter and seal replacement on April 20, 2018. The technician verified that
miscommunication played a factor in the chain of events which led to the incident.
According to the technician, the BP employee asked him if he was replacing ""like for
like"". The technician assumed the BP employee meant the transmitter equipment since he
had no knowledge of the importance of the seals.",,,,,,,,,,,,,,,,
GC-807-20161210-0540,,,2016-12-10,05:40,,GC,807,,PACIFIC SHARAV,,LIFTING DEVICE,,,,,INV-ddc6a7,,,,SUP-68c9da,District Supervisor,,,,,"On December 10, 2016, on board the Pacific Drilling Sharav drillship, operating for
Chevron U.S.A. Inc. in Green Canyon block 807, a flash fire occurred inside the waste
oil incinerator tank located in the incinerator room. There were no injuries reported
and no immediate threat to equipment, the environment, or personnel; therefore a
muster did not occur.
At 05:40 a.m. the Motorman was adjacent to the waste oil incinerator room when he
heard a “boom” and saw smoke billow from the incinerator room waste oil tank vent.
The Motorman proceeded to the door of the incinerator room and checked it for heat to
ensure the space was safe to enter. After determining it was safe to proceed through
the door, he entered the incinerator room and discovered the waste oil tank had
ballooned out and one isolation valve was damaged. Waste oil was spraying from the
damaged valve onto the deck inside the enclosed incinerator room. It was reported
that 1 gallon of waste oil was released to the secondary containment area. The
Motorman then proceeded to isolate the power source to the waste oil control panel
and secure all inlet and outlet valves on the tank, after which he proceeded to the
Engine Control Room (ECR) and reported his findings to the Engineer.
The Bureau of Safety and Environmental Enforcement (BSEE) Inspectors conducted an
inspection/investigation on December 22, 2016 and collected documentation for the
incident. It was determined that a single smoke alarm had activated in the
incinerator tank room. The Engineer shut the unit down after recognizing that the
waste oil level was too low in the tank. The low level exposed the internal heating
element which keeps the waste oil warm to circulate in the tank. The suction line
inside the tank to circulate the waste oil is located below the heating element. This
exposure caused an ignition of fumes which resulted in a flash fire inside the
incinerator waste oil tank. The tank then became distorted and ballooned out.
The investigation determined that there was a malfunction of the waste oil level
switch that shuts down power to the internal heating element when the waste oil level
becomes too low. If the waste oil level switch had operated properly, the power would
have been shut down to the heating element before it became exposed. Pacific
Drilling’s solution to keep this from reoccurring will be to raise the suction line
inside the tank above the heating element, to eliminate the possibility of a future
flash fire.","There were no injuries reported and no immediate threat to equipment, the environment, or personnel; therefore a muster did not occur.",,,,,,,,,,,,,,,
GI-116-20171203-2215,,,2017-12-03,22:15,,GI,116,A (HICKORY),,,LIFTING,,,,,INV-829e5e,,,,,,,,,,"On December 3, 2017 at 2215 hours, a fire occurred at the Fieldwood Energy LLC Grand
Isle 116-A, OCS-G 13944 platform. During normal operations, the operators observed a
flame coming from the #2 seawater lift pump electric motor. The fire was contained by
utilizing a 30 pound purple K fire extinguisher and the platform fire water system was
used to extinguish the fire. At the time of the fire, there was a total of six
personnel onboard.
During normal operations, the night control room operators heard an unusual noise
coming from outside. One of the operators went to investigate the noise, not knowing
where it was originating from. The operator was looking down through the grating,
noticing an orange flame coming from the #2 seawater lift pump.
The operator immediately alerted the persons onboard using the facility’s intercom
system to make them aware of a fire on the facility. The operator immediately turned
off the #2 seawater lift pump and utilized a 30 lb fire extinguisher (purple K) near
the seawater pump to contain the fire. In less than a minute, the Person In Charge
(PIC) arrived on the scene and activated the fire water system to extinguish the fire.
The first responders waited at least 30 minutes in the area for the cool down period.
The cool down period was to ensure the pump did not reignite. The #2 seawater lift
pump was placed out of service until the Fieldwood investigation could determine the
root cause of the fire.
During the",,,,,,,,,,,,,,,,
GI-22-20190716-0700,,,2019-07-16,07:00,,GI,22,R,,,LIFTING,,,,,INV-329eaa,,,,SUP-bb2929,District Supervisor,,,,,"17. Investigation Findings: On 16 July
at the Cox Operating (Cox), Grand Isle
2019 at 0700 hours, a pollution event occurred
(GI) 22-R, OCS 00031 platform. An estimated 4.8
barrels (bbls) of oil leaked from a 3/4"" broken tubing connection near the wellhead.",,,,,,,,,,,,,,,,"Sequence of Events:
On 16 July 2019 at 0610 hours, an Operator on GI 22-L platform observed a sheen north
of the platform emanating from a nearby, unmanned Cox Operating GI 22-R facility. The
Lead Operator and Field Foreman called for a helicopter to investigate the sheen. The
Lead Operator and Field Foreman confirmed the source to be the GI 22-R platform during
their overflight.
The Operator estimated the sheen at 8 miles long by 3/4 mile wide with silver and
bright colors on the surface. The Operator calculated the sheen to be 4.8 bbls of oil.
Cox reported the sheen observation to the National Response Center (NRC), Report
#1252101. According to the Operator’s observation, the sea state was 1 to 2 foot seas
at the time.
After the Operators arrived on the platform, they discovered that Well R-22 (API No.
177174019905) had oil releasing from around the wellhead. The Operators found the 3/4”
Swagelok tubing line on the gas lift bleed ring on the casing valve had parted. After
the Operators located the source of the leak, they began closing the annulus casing
valve upstream of the leak. The Operators recorded the casing pressure from a gauge on
the platform. The gauge displayed a pressure of 1201 psi for the GI R-22 well.
The Operators then began the process of cleaning the oil from the platform by using
hoses, absorbent pads, Dawn soap, and degreaser.
BSEE Investigation:
On 16 July 2019, a team consisting of two Bureau of Safety and Environmental
Enforcement (BSEE) Inspectors flew to GI 22-R to conduct a follow-up investigation.
During the flight out to the platform, the Inspectors observed the sheen impacting
Elmer's Island Wildlife Refuge. Once the Inspectors flew to the origin point (GI 22-
R), they assessed and photographed the sheen.
The Inspectors proceeded to the well deck, identifying the source of the leak at the
R-22 wellhead. The Inspectors recorded a production casing pressure at 1201 psi and
well tubing pressure at 1350 psi. As noted in the Inspector’s findings, the Swagelok
fitting installed in the bleed ring of the casing valve parted.
The Field Foreman provided a more accurate timeline of the events using time stamps on
his phone for requesting a helicopter, taking photographs of the sheen, and calling
his compliance tech to begin their internal reporting procedures for a sheen
discharge.
According to the Field Foreman’s interview, they did not see the sheen impact the
wildlife refuge at the time of the overflight. However, the Field Foreman stated the
sheen was within yards of shoreline impact at the time of the overflight.
Cox’s method of oil clean up may have exacerbated the impact to the state wildlife
refuge.
The Investigators confirmed that the GI 22-R platform was shut-in since 28 June 2019
for maintenance on a 90 bbl tank, ABJ R001. However, pressure remained on the gas lift
line and well casing. Hurricane Barry delayed the repairs. According to the weather
reports for the GI 22 Field during Hurricane Barry, the sea state was 14 to 16 foot
(ft) seas with occasional 21 ft seas.
BSEE agrees with Cox’s assertion that high seas from Hurricane Barry caused enough
well movement to sheer the tubing. However, BSEE found that Cox failed to support the
tubing in such a way as to prevent well movement from sheering the fitting from the
tubing.
The platform Piping and Instrumentation Diagrams (P&IDs) indicated a Flow Safety Valve
(FSV) downstream of the 3/4” tubing connection. However, the FSV was installed
upstream of 3/4” tubing connection. Pollution may have been minimized if the FSV was
installed downstream of the tubing connection.
The pollution may have also been minimized if the check valves in the gas lift
mandrels functioned as designed. The R-22 well’s production casing contains a short
and long tubing string. The long tubing string was on production while the short
tubing string was out of service. The BSEE District Operations Support Section
requested Cox to perform a Casing Pressure Diagnostic, which failed. The diagnostics
indicated communication between the short string and the production casing through the
gas lift valves causing unexpected pressure on the production casing after shut-in.
BSEE ordered Cox to remediate the casing pressure issues.
Conclusion:
The BSEE Investigation Team identified several causes of the pollution event. First,
the seas during Hurricane Barry caused the well casing to rock and sheer the tubing.
Second, the check valves in the gas lift mandrels failed to function properly or seal.
Third, the FSV on the gas lift line was installed in the incorrect location. Last,
cleanup efforts failed to prevent further discharge or pollution into Gulf of Mexico
waters."
GI-22-20130806-1925,,,2013-08-06,19:25,,GI,22,L-CMP-VALVE,,,LIFTING DEVICE,,,,,INV-0e9fc0,,,,SUP-fd8c1a,District Supervisor,,,,,"During construction operations, a FABCON Rigger was caught between a muffler and a
handrail scaffold when the muffler suddenly rolled as the butterfly valve was being
lifted by the crane. The Injured Person (IP) was flown to Terrebone General where he
was examined and released after the CAT scan showed only a hairline fracture of his
Scapula (shoulder blade). -
The investigation revealed: -
1) Employee complacency. -
2) Employee was not aware of the surroundings and was not paying attention to the
task at hand. -
3) The employee placed himself in a potential pinch point. -
4) There were only two 3/8"" bolts holding the muffler stack to the stand instead of
the four (4) required. -
5) There were slip braces in place instead of welding or bolted bracing to support
the muffler stack. -
6) The Crane used was on a the Liftboat Ram X. Seas or movement possibly contributed
to the force excerted on the butterfly valve mounting bolts. -",The Injured Person (IP) was flown to Terrebone General where he was examined and released after the CAT scan showed only a hairline fracture of his Scapula (shoulder blade).,,,,,,,,,,,,,,,
GI-22-0850,,,,08:50,,GI,22,L-CMP-VALVE,,,LIFTING DEVICE,,,,,INV-768fe1,,,,SUP-791835,District Supervisor,,,,,"Two Exterran mechanics were in the process of replacing and testing the wiring
harness on the magneto of the Gas Booster Compressor engine (Unit 72900) on GI 22-L-
CMP platform. According to statements, one of the mechanics selected the 'start'
sequence at the panel energizing a permissive start sequence while the other mechanic -
tested the voltage output of the magneto, which tested good. An electronic timing
light was connected to the #1 spark plug wire and the 2"" inspection cover had been
removed to allow observance of the timing marks on the engine's flywheel in order to
check the timing. The mechanic then selected the 'startup' sequence. Once the starter -
engaged and the engine started to turn, a noise was reported to have been heard that
caused the mechanic at the panel to look up and say ""flames"". He immediately shut the -
compressor down and ran around the engine to check on the other mechanic who had been -
standing on the starter and magneto side of the engine. An Energy XXI Operator nearby -
also noticed the compressor attempting to start, but also noticed yellow and black
flames rising up approximately four or five feet above the compressor's head to the
muffler's cross pipe on the opposite side of the Compressor's panel. As the operator -
was in route to the ESD station, he observed one of the Exterran mechanics engulfed
in flames. His view was slightly obstructed, but he could see the mechanics upper
body and head. His head was bowed down, hands lifted up chest high with palms up. As
he went to help him he saw the mechanic falling from the compressor base, stumbled to -
the deck, stand up and walked slowly backwards to the firewall. He then noticed the
other mechanic emerged from the front of the panel. They both went to assist the
injured person (IP) who seemed disorientated and standing unstable. As the other
mechanic attended to the IP the operator went to put out the fire which had ceased
burning except for a small residual flame on the fuel supply piping which was then
smothered out with a gloved hand. The IP was immediately taken across the catwalk to
the GI 22-L Quarters platform to the Medic for first aid treatment for burns to the
hands and face, then flown in for medical attention. The flash fire was reported to
have last approximately 3 seconds. The mechanic was reported to have received 2nd
degree burns on his face and hands. -
The Investigation revealed: -
According to Energy XXI investigation, a pin-hole leak in the 2"" braided, flex
starter exhaust piping was the source of fuel for the fire. The ignition source
possibly being from the starter engaging with the engine flywheel creating a spark. -
BSEE's Accident Investigator's assessment based on the available information provided -
would suggest that the ignition source would have come from either, the opened
conduit junction box, exposing the magneto voltage to the engine coils and spark plug -
wires power source or portable timing light tool or volt meter ground. Note: The
opened junction box was classified for use in hazardous locations and located at the
height of where the mechanic's face and hands were burned at the time of the ignition -
of the flash fire. -
It was reported that the flash occurred while the compressor was cranking and turning -
over, which would suggest the starter was fully engaged and gears meshed and highly
unlikely creating a spark. However, the engine's ignition and voltage systems would
have been energized and active.
$500 -",,,,,,,,,,,,,,,,
GI-43-20180126-0600,,,2018-01-26,06:00,,GI,43,AP-QRT,,,LIFTING,,,,,INV-bab7d3,,,,SUP-bb2929,District Supervisor,,,,,"On January 26, 2018, on the GI 43 AP (Pump Platform) Lease OCS-G00175, a loss of
containment of hydrocarbons and gas releases occurred. The platform operators
responded to the loss of containment ultimately shutting in the field several hours
later once a sheen was observed coming from the platform. The sheen was reported to
the National Response Center (NRC). No injuries occurred from this incident.
On January 26, 2018, at 12:32 am, Control Room Operators (CRO) and night operators,
consisting of Fieldwood, Island, and Woodgroup personnel reported “experiencing
abnormal operating conditions.” Operators stated that sand and sludge buildup,
chemical flocking, a loss of liquid level control, and liquid carry over in production
vessels and equipment among the causes for the abnormal conditions. The CRO placed
process alarms and safety system devices in “by-pass function” in the Programmable
Logic Controller (PLC) to prevent equipment from shutting-in while operators flushed
level bridles on process vessels. The operators thought that the abnormal conditions
were due to false level reading from the process guided radar level sensors due to
chemical flocking becoming stuck on the guided radar tube since they had experienced
this issue before. While operators were in the process of assessing these abnormal
conditions, at 1:18 am they found a hole in the Gas Vent Header Piping leaking
hydrocarbons through the grating and into the Gulf of Mexico (GOM). The leak was
stopped and secured by wrapping the pipe with an absorbent pad and gray duct tape.
Night operators then woke up the daytime CRO to help regain control of the production
process. The facility Person-in-Charge (PIC) was then awakened by operators to help
assess the hole in the GAS Vent Header Piping at the request of the daytime CRO. The
PIC then woke the and the Fieldwood Field Foreman. The Field Foreman fell back asleep
and therefore the platform remained flowing until the following morning. At
approximately 6:45 am, a field wide shut-in of all production was initiated by the
Area Foreman after he noticed the sheen (after daylight) coming from the GI-43 AP
structure. At 9:59 am Fieldwood reported the sheen to the NRC. (NRC #1208920).
The BSEE New Orleans District Office (NOD) in collaboration with the GOM Regional
Office of Incident Investigations (OII), and the Environmental Inspection and
Enforcement Unit (EIE), set up a GI 43 AP Investigation Team that made several onsite
investigations. The investigation consisted of gathering pertinent documents, taking
photos, and conducting interviews with personnel. On January 26th at approximately
12:00 pm, BSEE Inspectors arrived on the facility and observed a sheen extending 10
miles and originating from the GI 43 AA facility. The inspectors then verified that
the GI 43 AP Platform was shut-in and all production halted. BSEE requested that
Fieldwood ensure the sources of the pollution had been identified and stopped. The",No injuries occurred from this incident.,,,,,,,,,,,,,,,
UNKEYED-48eeb31a0eae,,,2021-08-18,,,,,AC-CMP,,,LIFTING,,,,,INV-96203f,,,,,,,,,,"On August 18, 2021, a crane incident occurred on Grand Isle (GI) 43 AC-CMP, a platform
operated by GOM Shelf LLC. A contract Crane Operator (CO) employed by Danos, was
performing a pre-use inspection of the crane on the AC structure when equipment
failure resulted in damage to the crane. No injuries occurred as a result of the
incident.
SQUENCE OF EVENTS:
On August 18, 2021 at 1300 hours, a CO was performing a pre-use crane inspection prior
to backloading a cargo box onto the boat. The CO was keeping the throttle high while
pulling back on the boom lever with his right hand to raise the boom to test the high
angle kickout. As the boom was being raised at high throttle, the CO placed his left
hand on the swing lever to rotate the crane out. The swing lever was too hot to touch
bare-handed from being in direct sunlight, so the CO reached down with his left hand
to grab a rag to use as a barrier. Simultaneously, the boom was still being raised at
high throttle until the CO felt the crane shake. In response, the CO released all
levers and reduced the throttle to an idle. He then looked up and saw that the boom
was bent back over the top of the crane. All operations were shut down and the CO
safely got out of the crane.",No injuries occurred as a result of the incident.,,,,,,,,,,,,,,,
GI-47-20160115-1530,,,2016-01-15,15:30,,GI,47,AP,,,LIFTING DEVICE,,,,,INV-d78dd2,,,,SUP-cd332a,District Supervisor,,,,,"On 15-January-2016 at GOM Shelf LLC's Grand Isle (GI) 47-AP Platform, an incident
with injury occurred during a crane lifting operation while moving three Marine
Portable Tanks (MPT) from one area of the production deck to another. This operation
was being performed to empty hydrocarbons into the platform's production system.
At approximately 1530 hrs, the field paramedic was called to attend an injury of a
Production Operator (PO) who was assigned as the Certified Crane Rigger (CCR) at the
time of the incident. During this operation, the CCR used improper hand signals to
signal the Certified Crane Operator (CCO) to lift the load. During the lift, the MPT
shifted towards the permanent chemical tote tank a few feet away. The CCR grabbed the
MPT trying to control it when the CCR’s left pinky finger was caught between the MPT
and the chemical tote tank. The CCO stopped the job and attended to the injured CCR
and notified the Person In Charge (PIC) of the facility to report the incident.
The Paramedic was contacted by the PIC at approximately 1530 hrs to attend to the
injured employee. The Paramedic described the injury of the CCR to investigators that
the left pinky fingernail was detached from the nail bed. The left pinky was cut from
the nail bed to the inside of the lower knuckle. The paramedic cleaned the injury
with sterile water and dressed it. As the paramedic of the Injured Person (IP), he
made the decision to have the injured CCR flown in for treatment. The glove the IP
was wearing showed no signs of tears or punctures. The paramedic also noted that the
gloves worn by the CCR were Mechanic type gloves but not impact type gloves.
BSEE Investigators arrived on 20-January 2016 to conduct an Investigation of this
incident. Statements, Job Safety Analysis (JSA), pictures of the crane at the scene
of incident and initial reports obtained.
1. Based on interviews conducted and documents reviewed of the incident
investigation, it was discovered that during a lifting operation, the CCO and CCR
failed to incorporate familiarization with rigging hardware, taglines, slings, and
safety issues associated with rigging and lifting loads. The safety factors and lift
planning resulted in unsafe crane and rigging procedures. This type of operation
caused an injury to working personnel. The CCR used improper positioning, inattention
to footing, and improper hand signals to the CCO. The CCO also failed to follow
procedures written in the JSA at the time of the incident.
2. Lessee failed to perform crane operating practices for attaching and moving the
load being utilized in accordance with API RP 2D, paragraphs 3.2.1, 3.2.2 and 3.2.3
3. The Qualified Crane Operator and the designated signal person directing the lift,
if utilized, should determine that:
A. The load is secured and properly balanced in the appropriate sling or lifting
device before it is lifted.
B. The lift and swing paths are clear of obstructions and personnel.
C. The hook is brought over the load in such a manner as to minimize swinging.
4. During lifting operations, the designated tag lines were not utilized to control
the load of approximately 6 Tons posing immediate danger to the equipment and the
facility.
5. The probable cause of this incident was the lessee and the personnel engaged in
this lifting operation failed to follow and adhere to all safe rigging practices.
Also, the personnel failed to recognize all hazards which could have prevented this
from occurring.",,,,,,,,,,,,,,,,
